LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
103.1508455,20.39395081,772,772,22,22,1,1,0,1,1,0,1,1
100.6730079,20.99275902,774,774,22,22,1,1,0,1,1,0,1,1
101.0315148,17.63755757,776,776,22,22,1,1,0,1,1,0,1,1
103.9513576,20.4811071,778,778,44,44,1,1,0,1,1,0,1,1
101.1469773,20.82177127,780,780,11,11,1,1,0,1,1,0,1,1
100.3759678,20.56336537,784,784,22,22,1,1,0,1,1,0,1,1
102.4241028,20.80674978,788,788,22,22,1,1,0,1,1,0,1,1
101.6590171,19.72980864,790,790,22,22,1,1,0,1,1,0,1,1
102.6701271,20.73197778,791,791,44,44,1,1,0,1,1,0,1,1
103.7969145,20.25649529,794,794,22,22,1,1,0,1,1,0,1,1
104.5543999,19.93691587,795,795,22,22,1,1,0,1,1,0,1,1
101.3883019,18.96470468,800,800,11,11,1,1,0,1,1,0,1,1
104.3032935,20.4503462,801,801,44,44,1,1,0,1,1,0,1,1
102.1582112,19.91420865,804,804,22,22,1,1,0,1,1,0,1,1
104.3120164,20.5579958,806,806,22,22,1,1,0,1,1,0,1,1
102.5881782,20.63332456,807,807,22,22,1,1,0,1,1,0,1,1
101.3199404,19.27654049,810,810,22,22,1,1,0,1,1,0,1,1
101.7347662,20.03798142,811,811,22,22,1,1,0,1,1,0,1,1
101.0181516,20.52009677,813,813,22,22,1,1,0,1,1,0,1,1
104.6374641,20.21741608,814,814,22,22,1,1,0,1,1,0,1,1
102.2775172,20.4816321,821,821,22,22,1,1,0,1,1,0,1,1
104.6526608,20.22829039,822,822,22,22,1,1,0,1,1,0,1,1
104.6543971,19.96072408,824,824,22,22,1,1,0,1,1,0,1,1
100.8528655,20.24702332,826,826,22,22,1,1,0,1,1,0,1,1
101.7839,19.16913829,828,828,22,22,1,1,0,1,1,0,1,1
103.118756,19.97927468,830,830,11,11,1,1,0,1,1,0,1,1
101.7510294,18.91104335,832,832,11,11,1,1,0,1,1,0,1,1
104.1691259,20.26272031,834,834,22,22,1,1,0,1,1,0,1,1
104.8508011,19.95937121,835,835,22,22,1,1,0,1,1,0,1,1
100.5030558,19.70829293,845,845,22,22,1,1,0,1,1,0,1,1
103.5748162,20.64049639,850,850,22,22,1,1,0,1,1,0,1,1
102.4119098,20.76160203,855,855,22,22,1,1,0,1,1,0,1,1
103.0361642,19.93637739,858,858,22,22,1,1,0,1,1,0,1,1
100.7189857,20.71232665,859,859,11,11,1,1,0,1,1,0,1,1
101.8460454,19.64140319,863,863,22,22,1,1,0,1,1,0,1,1
101.9109109,19.70183585,865,865,44,44,1,1,0,1,1,0,1,1
102.0225301,19.71184919,867,867,22,22,1,1,0,1,1,0,1,1
101.2492131,18.40894856,868,868,22,22,1,1,0,1,1,0,1,1
104.0653643,20.93468474,870,870,44,44,1,1,0,1,1,0,1,1
101.400998,19.96409882,871,871,22,22,1,1,0,1,1,0,1,1
101.5373414,20.4662837,879,879,44,44,1,1,0,1,1,0,1,1
101.393832,21.16277819,880,880,22,22,1,1,0,1,1,0,1,1
100.5790184,20.99602016,882,882,22,22,1,1,0,1,1,0,1,1
102.6619805,20.69990004,886,886,44,44,1,1,0,1,1,0,1,1
103.2006541,20.13730236,890,890,22,22,1,1,0,1,1,0,1,1
101.6075034,20.68397602,897,897,22,22,1,1,0,1,1,0,1,1
100.4771718,20.22528258,904,904,11,11,1,1,0,1,1,0,1,1
