LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015,ccdc_0510_buffer_disturbance_1px,ccdc_1015_buffer_disturbance_1px,coded_0510_buffer_disturbance_1px,coded_1015_buffer_disturbance_1px,fcdm_0510_buffer_disturbance_1px,fcdm_1015_buffer_disturbance_1px,frel_0510_buffer_disturbance_1px,frel_1015_buffer_disturbance_1px,ccdc_0510_buffer_disturbance_2px,ccdc_1015_buffer_disturbance_2px,coded_0510_buffer_disturbance_2px,coded_1015_buffer_disturbance_2px,fcdm_0510_buffer_disturbance_2px,fcdm_1015_buffer_disturbance_2px,frel_0510_buffer_disturbance_2px,frel_1015_buffer_disturbance_2px
101.39571878531089,20.58953777178105,318,318,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.55348551242488,20.98446971543392,320,320,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1
104.78227187639071,20.16994288395204,322,322,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
101.64621614540253,19.50647111527627,326,326,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,1,1
101.30790417542158,18.985043574399192,329,329,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103.0172856807601,21.02977153438552,331,331,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
101.2045303832319,18.117089167862495,332,332,45,55,1,1,0,1,1,0,1,1,5,5,5,1,1,2,3,2,5,5,5,5,5,2,3,2
103.59636551201659,20.64528026971353,333,333,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
103.70150126768213,20.640140619637,334,334,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
103.88362450938013,20.85472177230016,340,340,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
101.24844544301108,20.629164411773893,347,347,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102.3532458141179,19.531752361869067,348,348,44,44,1,1,0,1,1,0,1,1,5,5,1,1,1,5,1,1,5,5,1,1,5,5,1,1
102.67465780750929,19.714182416283357,351,351,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,3,1,1,1,1,1,1,5,3,1,1
102.19088829810144,20.089967757149164,362,362,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
100.64575873430827,20.24226659546733,363,363,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
103.17614867508058,19.94870983125143,366,366,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
103.57925950277424,20.471416377442196,367,367,22,22,1,1,0,1,1,0,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,5,1,1
102.59053811945384,20.242442031754354,380,380,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,5,5,1,1,5,5,1,1
101.83343542389551,19.90357335339118,386,386,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
100.94693943991723,20.790095232152293,390,390,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.44321589881555,19.15147897060517,392,392,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1
104.20446736141648,20.034096088784345,394,394,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1
101.35898281793442,19.62191012824529,404,404,22,22,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1
100.97827784093867,17.594531149141872,408,408,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,5,1,1,1,5,5,1,1
102.03221793057052,20.142887497185033,410,410,44,44,1,1,0,1,1,0,1,1,5,5,1,1,1,5,1,1,5,5,1,1,5,5,1,1
101.52425759187275,19.468431161074964,412,412,11,11,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
103.92344322368083,20.40043435264135,424,424,22,22,1,1,0,1,1,0,1,1,5,1,1,1,5,3,5,1,5,1,5,1,5,3,5,1
101.03561190089879,20.86495752487566,426,426,22,22,1,1,0,1,1,0,1,1,5,1,1,5,5,5,1,1,5,1,5,5,5,5,5,1
101.4201499192029,19.203818532411322,429,429,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.52323817493122,20.73345768310411,430,430,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101.88278890788223,19.79531553063673,437,437,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
101.32116580122837,21.044020331869127,438,438,11,11,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1
101.39214018131709,19.181612710764675,447,447,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
101.66062852121968,21.06592858602961,454,454,44,44,1,1,0,1,1,0,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1
101.49862081678008,20.260314091135516,455,455,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,5,5,5,1,1,5,1,1
103.69174975966502,20.63573056099032,458,458,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
100.8748974202404,20.70964667511865,459,459,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1
101.21027278555064,20.672984316032206,460,460,22,22,1,1,0,1,1,0,1,1,5,1,1,1,5,5,1,1,5,1,5,1,5,5,1,1
101.48986232458277,20.720868534835102,464,464,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
101.87861694934038,19.847776749357724,466,466,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1
